cvastrophoto version 0.1.0 [linux2], Log version 2.5. Log enabled at 2020-10-24 07:56:16


Controller Begins at 2020-10-24 07:56:18
Equipment Profile = default
Mount = N/A, Pier side = N/A
RA Minimum pulse = 50 ms
DEC Minimum pulse = 100 ms
RA Backlash comp, RA pulse = 50 ms, DEC pulse 50 ms
Time,mount,RADuration,RADirection,DECDuration,DECDirection,RADuty,DECDuty,RADriftSpeed,DECDriftSpeed,RAGearstate,DECGearState
2941.795576095581,Mount,336,E,0,,-204280,-15,-0.0016766282264086127,-0.008975174366493262,0,-10539
2942.132724046707,Mount,336,E,0,,-203945,-18,-0.0016766282264086127,-0.008975174366493262,0,-10539
2942.469910144806,Mount,336,E,0,,-203609,-21,-0.0016766282264086127,-0.008975174366493262,0,-10539
2942.8077449798584,Mount,336,E,0,,-203274,-24,-0.0016766282264086127,-0.008975174366493262,0,-10539
2943.145599126816,Mount,336,E,0,,-202939,-27,-0.0016766282264086127,-0.008975174366493262,0,-10539
2943.48259305954,Mount,336,E,0,,-202603,-30,-0.0016766282264086127,-0.008975174366493262,0,-10539
2943.81959605217,Mount,336,E,0,,-202268,-34,-0.0016766282264086127,-0.008975174366493262,0,-10539
2944.1565461158752,Mount,336,E,0,,-201932,-37,-0.0016766282264086127,-0.008975174366493262,0,-10539
2944.4933290481567,Mount,336,E,0,,-201597,-40,-0.0016766282264086127,-0.008975174366493262,0,-10539
2944.8319840431213,Mount,336,E,0,,-201261,-43,-0.0016766282264086127,-0.008975174366493262,0,-10539
2945.1713020801544,Mount,336,E,0,,-200926,-46,-0.0016766282264086127,-0.008975174366493262,0,-10539
2945.509036064148,Mount,336,E,0,,-200590,-49,-0.0016766282264086127,-0.008975174366493262,0,-10539
2945.846091032028,Mount,336,E,0,,-200255,-52,-0.0016766282264086127,-0.008975174366493262,0,-10539
2946.1831710338593,Mount,336,E,0,,-199920,-55,-0.0016766282264086127,-0.008975174366493262,0,-10539
2946.520462036133,Mount,336,E,0,,-199584,-58,-0.0016766282264086127,-0.008975174366493262,0,-10539
2946.8574380874634,Mount,336,E,0,,-199249,-61,-0.0016766282264086127,-0.008975174366493262,0,-10539
